iter	Logloss
0	0.6230801203
1	0.5671801374
2	0.5274302254
3	0.4935213619
4	0.4654639987
5	0.4359928401
6	0.417237631
7	0.3984120292
8	0.3832252298
9	0.365190838
10	0.3536957631
11	0.3433730474
12	0.3336719344
13	0.3252347619
14	0.3150711009
15	0.3070647383
16	0.3007940015
17	0.2956995601
18	0.2894267885
19	0.2843430125
20	0.2801928643
21	0.2766578645
22	0.2724973181
23	0.2687447721
24	0.2655325871
25	0.2626695332
26	0.2602549047
27	0.2569833938
28	0.2540482608
29	0.2518279088
30	0.2497088251
31	0.24751493
32	0.2450594226
33	0.2431216755
34	0.2410088139
35	0.2393976929
36	0.2377090287
37	0.2360010342
38	0.2345584652
39	0.2334002532
40	0.2319641709
41	0.2305387061
42	0.2291419642
43	0.2276838519
44	0.2259833444
45	0.2246385674
46	0.2232373599
47	0.2222316236
48	0.2213832762
49	0.2200127348
50	0.2192993394
51	0.218330113
52	0.2173806573
53	0.2160294632
54	0.2145899111
55	0.2139039391
56	0.213094603
57	0.2117825573
58	0.2111761907
59	0.2102681794
60	0.209448391
61	0.2079043022
62	0.2070985514
63	0.2063833323
64	0.2057235156
65	0.2051593009
66	0.2045428847
67	0.2038343834
68	0.2027954008
69	0.2021319083
70	0.2015251089
71	0.200796285
72	0.2002769474
73	0.199604652
74	0.1991868751
75	0.1986237942
76	0.1980776833
77	0.1975345055
78	0.1969823812
79	0.1962191377
80	0.1954634032
81	0.1949617545
82	0.1943063228
83	0.1937065629
84	0.1931104567
85	0.1924728274
86	0.1919455886
87	0.1915321745
88	0.1910906156
89	0.1903630609
90	0.1897193409
91	0.189340164
92	0.1887487641
93	0.1883676086
94	0.1878586007
95	0.1873600971
96	0.1869678212
97	0.186682282
98	0.1863817745
99	0.1856642921
100	0.1852909539
101	0.1848677979
102	0.1844025081
103	0.1840323142
104	0.1836616524
105	0.1834110827
106	0.1830279193
107	0.1824474883
108	0.1819982327
109	0.1818040123
110	0.1813299674
111	0.1810549613
112	0.1808171871
113	0.18032122
114	0.1798771349
115	0.1794143053
116	0.1791610048
117	0.1787832295
118	0.1782877112
119	0.1780317159
120	0.1777190168
121	0.1774177925
122	0.1771759843
123	0.1768038821
124	0.1762415937
125	0.1759291889
126	0.1756665924
127	0.1754623354
128	0.175280533
129	0.175072255
130	0.1748802134
131	0.1746481789
132	0.1742205173
133	0.1739525714
134	0.1736476972
135	0.1734801639
136	0.173192472
137	0.1729032582
138	0.1726336637
139	0.1723404185
140	0.1721703822
141	0.1719779973
142	0.1717430887
143	0.1715719307
144	0.1712957931
145	0.1708578186
146	0.1705164025
147	0.1701731243
148	0.1699559078
149	0.1697064493
150	0.1693058269
151	0.1690911743
152	0.1679091142
153	0.1677402982
154	0.1674692167
155	0.1671731993
156	0.1670471985
157	0.1667898526
158	0.1665788992
159	0.1662877726
160	0.1660227835
161	0.1658742935
162	0.1655524506
163	0.1653860193
164	0.1652119464
165	0.1649793639
166	0.1648152207
167	0.1646678502
168	0.1644035869
169	0.1642122574
170	0.1639723862
171	0.1637389716
172	0.1635998351
173	0.1634402868
174	0.1632185821
175	0.16286391
176	0.16272459
177	0.1625089279
178	0.162382609
179	0.1621901286
180	0.1621239886
181	0.1619178538
182	0.1617211504
183	0.1614462839
184	0.161178526
185	0.1610110673
186	0.1608565809
187	0.1607565612
188	0.1606059705
189	0.1604593574
190	0.1602275306
191	0.1600537879
192	0.1597474814
193	0.1595662764
194	0.1593357727
195	0.1590707466
196	0.1588323706
197	0.1585373477
198	0.1582971788
199	0.158149059
200	0.1579574969
201	0.1578022582
202	0.1575801797
203	0.1574624929
204	0.1572722363
205	0.1570422819
206	0.1569181517
207	0.1566888402
208	0.1565657567
209	0.1565021585
210	0.1563515915
211	0.1561802753
212	0.1560507601
213	0.1559059648
214	0.1557254182
215	0.1556013364
216	0.1554113563
217	0.1552285266
218	0.1551152523
219	0.154889835
220	0.1547540744
221	0.1546739918
222	0.1545742018
223	0.1544020872
224	0.1542224781
225	0.1540094689
226	0.1539464052
